cell_line,target,sens,sens_label
LS513,EGFR+ctrl,0.1761154703001829,0
A101D,EGFR+ctrl,0.0795361734117545,0
HCC827,EGFR+ctrl,0.8144614242944395,1
ONCODG1,EGFR+ctrl,0.0836482178289973,0
HS294T,EGFR+ctrl,0.0313247992544124,0
NCIH1581,EGFR+ctrl,0.059775971527102,0
T24,EGFR+ctrl,0.1157622311522629,0
MCF7,EGFR+ctrl,0.1170706564020537,0
NCIH1693,EGFR+ctrl,0.3094099580411895,1
PATU8988S,EGFR+ctrl,0.3123654480242507,1
PATU8988T,EGFR+ctrl,0.1068157145735337,0
253JBV,EGFR+ctrl,0.3373386161506455,1
NCIH1650,EGFR+ctrl,0.1907803137166261,0
S117,EGFR+ctrl,0.0500322655495474,0
U118MG,EGFR+ctrl,0.0613986462836856,0
PANC0203,EGFR+ctrl,0.2759799341815463,1
ACHN,EGFR+ctrl,0.2746907273263095,1
GCIY,EGFR+ctrl,0.2848165374681592,1
TOV112D,EGFR+ctrl,0.2871138917826135,1
A673,EGFR+ctrl,0.087052592652471,0
HT1080,EGFR+ctrl,0.0285773274410001,0
PANC1005,EGFR+ctrl,0.2193631113619432,1
RERFLCMS,EGFR+ctrl,0.0798163978133945,0
HCC4006,EGFR+ctrl,0.7620029145389157,1
G292CLONEA141B1,EGFR+ctrl,0.0872364562215801,0
SKES1,EGFR+ctrl,0.1628927946593317,0
PC3,EGFR+ctrl,0.1007873430548154,0
OV56,EGFR+ctrl,0.1005257068953783,0
NCIH2452,EGFR+ctrl,0.0108909455373786,0
ZR751,EGFR+ctrl,0.0773424132519223,0
GAMG,EGFR+ctrl,0.001,0
GMS10,EGFR+ctrl,0.0934303884606,0
CAPAN2,EGFR+ctrl,0.2446321101070849,1
KP3,EGFR+ctrl,0.1188502501880168,0
EFM192A,EGFR+ctrl,0.2939058689950005,1
HUPT3,EGFR+ctrl,0.0911713149259444,0
COV434,EGFR+ctrl,0.1872638075724828,0
JHOS2,EGFR+ctrl,0.2166534304295186,1
8MGBA,EGFR+ctrl,0.0752925518827543,0
CFPAC1,EGFR+ctrl,0.2736194280717292,1
PANC0327,EGFR+ctrl,0.248631372791982,1
SNU308,EGFR+ctrl,0.0474597387596384,0
CAL29,EGFR+ctrl,0.2666100066574779,1
NCIH2052,EGFR+ctrl,0.070632856303423,0
OSRC2,EGFR+ctrl,0.0597444864372975,0
CORL105,EGFR+ctrl,0.522822189048006,1
SW579,EGFR+ctrl,0.0385546784048943,0
PANC1,EGFR+ctrl,0.001,0
RD,EGFR+ctrl,0.1171043574931924,0
VMRCRCZ,EGFR+ctrl,0.1117805504036999,0
TM87,EGFR+ctrl,0.1076769289609955,0
CAL62,EGFR+ctrl,0.0960533519990153,0
LOUNH91,EGFR+ctrl,0.255114798414525,1
HS766T,EGFR+ctrl,0.0774525849019445,0
SNU869,EGFR+ctrl,0.1776187309417958,0
NCIH2444,EGFR+ctrl,0.0614398772756985,0
SCC25,EGFR+ctrl,0.4380338643068341,1
BHT101,EGFR+ctrl,0.0740500140371043,0
MFE280,EGFR+ctrl,0.1999545458636126,0
A204,EGFR+ctrl,0.1948017048232359,0
PK59,EGFR+ctrl,0.2047805031732078,1
DETROIT562,EGFR+ctrl,0.2369010476586104,1
SNU1079,EGFR+ctrl,0.0601138276213386,0
CADOES1,EGFR+ctrl,0.1077505012014528,0
DAOY,EGFR+ctrl,0.058799437444472,0
JHH6,EGFR+ctrl,0.0524985848550673,0
A375,EGFR+ctrl,0.0265776495124426,0
