cell_type,product_name,dose,viability,SIDM,dose_unit,product_name_norm,sciplex_smiles,sciplex_smiles_key,log10_dose,row_id,cell_norm,cpd_conc_umol,cpd_avg_pv,log10_cpd_conc_umol,sciplex_signal_remaining,ctrp_signal_remaining,depmap_id,product_name_norm_prism,prism_lfc,prism_lfc_dose,prism_lfc_screen_id,prism_lfc_source,prism_signal_remaining,gdsc_signal_remaining,gdsc_dose,gdsc_log10_dose,signal_remaining,drug
MCF7,TAK-901,10.0,0.483079641710481,SIDM00148,uM,tak901,CCS(=O)(=O)c1cccc(-c2cc(C(=O)NC3CCN(C)CC3)c(C)c3[nH]c4ncc(C)cc4c23)c1,ccs(=o)(=o)c1cccc(c2cc(c(=o)nc3ccn(c)cc3)c(c)c3[nh]c4ncc(c)cc4c23)c1,1.0,0,mcf7,,,,0.483079641710481,,ACH-000019,tak901,-2.1130207581,2.5,HTS,primary,0.23116249344180184,,,,0.23116249344180184,TAK-901
MCF7,AG-490 (Tyrphostin B42),0.01,0.999996924848152,SIDM00148,uM,ag490,N#CC(=Cc1ccc(O)c(O)c1)C(=O)NCc1ccccc1,n#cc(=cc1ccc(o)c(o)c1)c(=o)ncc1ccccc1,-2.0,1,mcf7,,,,0.999996924848152,,ACH-000019,ag490,,,,,,,,,,AG-490 (Tyrphostin B42)
MCF7,Abexinostat (PCI-24781),1.0,1.0,SIDM00148,uM,abexinostat,CN(C)Cc1c(C(=O)NCCOc2ccc(C(=O)NO)cc2)oc2ccccc12,cn(c)cc1c(c(=o)nccoc2ccc(c(=o)no)cc2)oc2ccccc12,0.0,2,mcf7,,,,1.0,,ACH-000019,abexinostat,,,,,,,,,,Abexinostat (PCI-24781)
MCF7,Obatoclax Mesylate (GX15-070),0.1,0.999809083030221,SIDM00148,uM,obatoclax,COC1=CC(c2cc3ccccc3[nH]2)=N/C1=C\c1[nH]c(C)cc1C.CS(=O)(=O)O,coc1=cc(c2cc3ccccc3[nh]2)=nc1=cc1[nh]c(c)cc1c,-1.0,3,mcf7,0.13,1.112,-0.8860566476931632,0.999809083030221,1.112,ACH-000019,obatoclax,-0.415179333745117,0.153406,MTS010,secondary,0.7499262695040589,,,,0.7499262695040589,Obatoclax Mesylate (GX15-070)
MCF7,BMS-265246,0.1,0.9998821322835192,SIDM00148,uM,bms265246,CCCCOc1c(C(=O)c2c(F)cc(C)cc2F)cnc2[nH]ncc12,ccccoc1c(c(=o)c2c(f)cc(c)cc2f)cnc2[nh]ncc12,-1.0,4,mcf7,,,,0.9998821322835192,,ACH-000019,bms265246,0.151311443938,0.15625,HTS002,secondary,1.11057855555024,,,,1.11057855555024,BMS-265246
MCF7,BMS-536924,10.0,0.8404871808054809,SIDM00148,uM,bms536924,Cc1cc(N2CCOCC2)cc2[nH]c(-c3c(NCC(O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,cc1cc(n2ccocc2)cc2[nh]c(c3c(ncc(o)c4cccc(cl)c4)cc[nh]c3=o)nc12,1.0,5,mcf7,,,,0.8404871808054809,,ACH-000019,bms536924,,,,,,,,,,BMS-536924
MCF7,AG-14361,1.0,0.984454629364139,SIDM00148,uM,ag14361,CN(C)Cc1ccc(-c2nc3cccc4c3n2CCNC4=O)cc1,cn(c)cc1ccc(c2nc3cccc4c3n2ccnc4=o)cc1,0.0,6,mcf7,,,,0.984454629364139,,ACH-000019,ag14361,-0.385420826537,2.5,HTS,primary,0.7655556574260856,,,,0.7655556574260856,AG-14361
MCF7,Carmofur,10.0,0.9975276991603592,SIDM00148,uM,carmofur,CCCCCCNC(=O)n1cc(F)c(=O)[nH]c1=O,ccccccnc(=o)n1cc(f)c(=o)[nh]c1=o,1.0,7,mcf7,,,,0.9975276991603592,,ACH-000019,carmofur,-1.70163147374,2.5,HTS,primary,0.3074382397113888,,,,0.3074382397113888,Carmofur
MCF7,PJ34,1.0,1.0,SIDM00148,uM,pj34,CN(C)CC(=O)Nc1ccc2[nH]c(=O)c3ccccc3c2c1,cn(c)cc(=o)nc1ccc2[nh]c(=o)c3ccccc3c2c1,0.0,8,mcf7,,,,1.0,,ACH-000019,pj34,-0.599324592566,2.5,HTS,primary,0.6600628959703472,,,,0.6600628959703472,PJ34
MCF7,Tanespimycin (17-AAG),0.1,0.743788958660364,SIDM00148,uM,tanespimycin,C=CCNC1=C2CC(C)CC(OC)C(O)C(C)/C=C(\C)C(OC(N)=O)C(OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,c=ccnc1=c2cc(c)cc(oc)c(o)c(c)c=c(c)c(oc(n)=o)c(oc)c=cc=c(c)c(=o)nc(=cc1=o)c2=o,-1.0,9,mcf7,0.13,0.743,-0.8860566476931632,0.743788958660364,0.743,ACH-000019,tanespimycin,-1.78269253816843,0.15625,MTS010,secondary,0.2906404604998239,,,,0.2906404604998239,Tanespimycin (17-AAG)
