condition,y,sens,cell_line,product_name,target
(+)-JQ1,0.0,0.0,A549,(+)-JQ1,BRD4+ctrl
2-Methoxyestradiol(2-MeOE2),0.014106824500418003,0.014106824500418003,A549,2-Methoxyestradiol (2-MeOE2),HIF1A+ctrl
A-366,0.0,0.0,A549,A-366,ASH1L+ctrl
ABT-737,0.21406592879322994,0.21406592879322994,A549,ABT-737,BCL2+ctrl
AC480(BMS-599626),8.47142828797054e-06,8.47142828797054e-06,A549,AC480 (BMS-599626),EGFR+ERBB2
AG-14361,0.21344253195875706,0.21344253195875706,A549,AG-14361,PARP1+ctrl
AG-490(TyrphostinB42),0.0,0.0,A549,AG-490 (Tyrphostin B42),EGFR+ctrl
AICAR(Acadesine),0.0,0.0,A549,AICAR (Acadesine),PRKAA2+ctrl
AMG-900,2.7652286750945443e-05,2.7652286750945443e-05,A549,AMG-900,AURKA+ctrl
AR-42,0.475820335161927,0.475820335161927,A549,AR-42,HDAC8+ctrl
AT9283,0.0002231574764558486,0.0002231574764558486,A549,AT9283,AURKA+JAK2
AZ960,0.45857761977284295,0.45857761977284295,A549,AZ 960,JAK2+ctrl
AZD1480,0.39965073958572606,0.39965073958572606,A549,AZD1480,JAK2+ctrl
Abexinostat(PCI-24781),0.13704647052644403,0.13704647052644403,A549,Abexinostat (PCI-24781),HDAC8+ctrl
Alendronatesodiumtrihydrate,0.2653902395382629,0.2653902395382629,A549,Alendronate sodium trihydrate,FDPS+ctrl
Alisertib(MLN8237),0.2973787924993969,0.2973787924993969,A549,Alisertib (MLN8237),AURKA+ctrl
Altretamine,0.00010426319609802004,0.00010426319609802004,A549,Altretamine,
Alvespimycin(17-DMAG)HCl,0.593505326275144,0.593505326275144,A549,Alvespimycin (17-DMAG) HCl,HSP90B1+ctrl
Aminoglutethimide,0.0,0.0,A549,Aminoglutethimide,CYP19A1+ctrl
Amisulpride,3.436491972985678e-06,3.436491972985678e-06,A549,Amisulpride,DRD1+ctrl
AnacardicAcid,0.0,0.0,A549,Anacardic Acid,HAT1+ctrl
Andarine,0.0,0.0,A549,Andarine,AR+ctrl
AuroraAInhibitorI,0.145287627383492,0.145287627383492,A549,Aurora A Inhibitor I,AURKA+ctrl
Avagacestat(BMS-708163),1.610471089996679e-05,1.610471089996679e-05,A549,Avagacestat (BMS-708163),APP+ctrl
Azacitidine,0.004852594961452961,0.004852594961452961,A549,Azacitidine,DNMT1+ctrl
BMS-265246,0.3790120474443921,0.3790120474443921,A549,BMS-265246,CDK1+ctrl
BMS-536924,0.25323849080858796,0.25323849080858796,A549,BMS-536924,IGF1R+ctrl
BMS-754807,0.16305202950241005,0.16305202950241005,A549,BMS-754807,IGF1R+ctrl
BMS-911543,0.0003885580369707986,0.0003885580369707986,A549,BMS-911543,JAK2+ctrl
BRD4770,0.0,0.0,A549,BRD4770,ASH1L+ctrl
Barasertib(AZD1152-HQPA),0.232217143180244,0.232217143180244,A549,Barasertib (AZD1152-HQPA),AURKA+ctrl
"Baricitinib(LY3009104,INCB028050)",2.9500950992744635e-05,2.9500950992744635e-05,A549,"Baricitinib (LY3009104, INCB028050)",JAK2+ctrl
Belinostat(PXD101),0.32112777982972507,0.32112777982972507,A549,Belinostat (PXD101),HDAC8+ctrl
BisindolylmaleimideIX(Ro31-8220Mesylate),0.668364953262278,0.668364953262278,A549,Bisindolylmaleimide IX (Ro 31-8220 Mesylate),PRKCA+ctrl
Bosutinib(SKI-606),0.0,0.0,A549,Bosutinib (SKI-606),SRC+ctrl
Busulfan,0.003951992231111978,0.003951992231111978,A549,Busulfan,
CEP-33779,0.0,0.0,A549,CEP-33779,JAK2+ctrl
CUDC-101,0.333425180564375,0.333425180564375,A549,CUDC-101,EGFR+HDAC8
CUDC-907,0.647733001592075,0.647733001592075,A549,CUDC-907,HDAC8+PIK3CA
CYC116,0.42531261493318107,0.42531261493318107,A549,CYC116,AURKA+FLT1
Capecitabine,0.0,0.0,A549,Capecitabine,TYMS+ctrl
Carmofur,0.31490661655088503,0.31490661655088503,A549,Carmofur,ASAH1+ctrl
Cediranib(AZD2171),0.293459350222647,0.293459350222647,A549,Cediranib (AZD2171),FLT1+ctrl
Celecoxib,2.776472652010753e-06,2.776472652010753e-06,A549,Celecoxib,PTGS2+ctrl
